Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[disease]	Characteristics[xenograft]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Array Data File	Comment[MD5]	Factor Value[xenograft]
179_181_R2_HVKMCBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R2_HVKMCBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R2_HVKMCBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R2_HVKMCBGX3_L001	sequencing assay	179_181_R2_HVKMCBGX3_L001.fastq.gz	b672211cc35d33a6ab7c462fa65a522e	179_181_R2_HVKMCBGX3_L001
179_181_R2_HVKMCBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R2_HVKMCBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R2_HVKMCBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R2_HVKMCBGX3_L002	sequencing assay	179_181_R2_HVKMCBGX3_L002.fastq.gz	1978d7d476570e106b4507bc59d9cbba	179_181_R2_HVKMCBGX3_L002
179_181_R2_HVKMCBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R2_HVKMCBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R2_HVKMCBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R2_HVKMCBGX3_L003	sequencing assay	179_181_R2_HVKMCBGX3_L003.fastq.gz	44afea29f8edb4f54cb33aca5dab2d19	179_181_R2_HVKMCBGX3_L003
179_181_R2_HVKMCBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R2_HVKMCBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R2_HVKMCBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R2_HVKMCBGX3_L004	sequencing assay	179_181_R2_HVKMCBGX3_L004.fastq.gz	d2325f9497974d0e1a0ef60eab0453c7	179_181_R2_HVKMCBGX3_L004
179_181_R3.all.hg19.merged.nodup.w5.rpm.sub.dm6	hg19	breast.hg19	Breast.cancer	179_181_R3.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw	normalised.PDTX.reads.bigwig	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R3.all.hg19.merged.nodup.w5.rpm.sub.dm6	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R3.all.hg19.merged.nodup.w5.rpm.sub.dm6	sequencing assay	179_181_R3.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw	284684faf9bd9b911abd097e330fbaa8	179_181_R3.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw
179_181_R3_HN35NBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R3_HN35NBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R3_HN35NBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R3_HN35NBGX3_L001	sequencing assay	179_181_R3_HN35NBGX3_L001.fastq.gz	1804e5fd61a01908e075aa0e95d8db03	179_181_R3_HN35NBGX3_L001
179_181_R3_HN35NBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R3_HN35NBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R3_HN35NBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R3_HN35NBGX3_L002	sequencing assay	179_181_R3_HN35NBGX3_L002.fastq.gz	3436e9def3634a8dc390f088d913d550	179_181_R3_HN35NBGX3_L002
179_181_R3_HN35NBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R3_HN35NBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R3_HN35NBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R3_HN35NBGX3_L003	sequencing assay	179_181_R3_HN35NBGX3_L003.fastq.gz	c79b6570e03084733d43179818691d1d	179_181_R3_HN35NBGX3_L003
179_181_R3_HN35NBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R3_HN35NBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R3_HN35NBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R3_HN35NBGX3_L004	sequencing assay	179_181_R3_HN35NBGX3_L004.fastq.gz	2aac7777cc1ef14544de3d54cc364311	179_181_R3_HN35NBGX3_L004
179_181_R3_HT7TLBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R3_HT7TLBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R3_HT7TLBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R3_HT7TLBGX3_L001	sequencing assay	179_181_R3_HT7TLBGX3_L001.fastq.gz	a85052ee2e02993d83578d708b75aec8	179_181_R3_HT7TLBGX3_L001
179_181_R3_HT7TLBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R3_HT7TLBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R3_HT7TLBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R3_HT7TLBGX3_L002	sequencing assay	179_181_R3_HT7TLBGX3_L002.fastq.gz	ce3418f600c3ac6ad02aaede30832140	179_181_R3_HT7TLBGX3_L002
179_181_R3_HT7TLBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R3_HT7TLBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R3_HT7TLBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R3_HT7TLBGX3_L003	sequencing assay	179_181_R3_HT7TLBGX3_L003.fastq.gz	74179c6e23064387b78a3b28f7464a2a	179_181_R3_HT7TLBGX3_L003
179_181_R3_HT7TLBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R3_HT7TLBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R3_HT7TLBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R3_HT7TLBGX3_L004	sequencing assay	179_181_R3_HT7TLBGX3_L004.fastq.gz	5fbe275a0745325e5a37bba26d5039e3	179_181_R3_HT7TLBGX3_L004
179_181_R4.all.hg19.merged.nodup.w5.rpm.sub.dm6	hg19	breast.hg19	Breast.cancer	179_181_R4.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw	normalised.PDTX.reads.bigwig	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R4.all.hg19.merged.nodup.w5.rpm.sub.dm6	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R4.all.hg19.merged.nodup.w5.rpm.sub.dm6	sequencing assay	179_181_R4.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw	5805156dc01770276d3dfd3da4e1e9ba	179_181_R4.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw
179_181_R4_HKV2HBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R4_HKV2HBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R4_HKV2HBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R4_HKV2HBGX3_L001	sequencing assay	179_181_R4_HKV2HBGX3_L001.fastq.gz	77dea0a9115a1f12e151e9c20d164f94	179_181_R4_HKV2HBGX3_L001
179_181_R4_HKV2HBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R4_HKV2HBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R4_HKV2HBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R4_HKV2HBGX3_L002	sequencing assay	179_181_R4_HKV2HBGX3_L002.fastq.gz	dcdaeba2364ffe4755fc981b5839475d	179_181_R4_HKV2HBGX3_L002
179_181_R4_HKV2HBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R4_HKV2HBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R4_HKV2HBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R4_HKV2HBGX3_L003	sequencing assay	179_181_R4_HKV2HBGX3_L003.fastq.gz	a8d04e51dfb3a71afe8c121ef5130b85	179_181_R4_HKV2HBGX3_L003
179_181_R4_HKV2HBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R4_HKV2HBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R4_HKV2HBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R4_HKV2HBGX3_L004	sequencing assay	179_181_R4_HKV2HBGX3_L004.fastq.gz	5426e36285228f6b954bcea3b3322125	179_181_R4_HKV2HBGX3_L004
179_181_R4_HN35NBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R4_HN35NBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R4_HN35NBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R4_HN35NBGX3_L001	sequencing assay	179_181_R4_HN35NBGX3_L001.fastq.gz	b0d44c46adeff82cad2f264e238c6923	179_181_R4_HN35NBGX3_L001
179_181_R4_HN35NBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R4_HN35NBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R4_HN35NBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R4_HN35NBGX3_L002	sequencing assay	179_181_R4_HN35NBGX3_L002.fastq.gz	9828c774dc3a722849d4e97dfbf24e8d	179_181_R4_HN35NBGX3_L002
179_181_R4_HN35NBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R4_HN35NBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R4_HN35NBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R4_HN35NBGX3_L003	sequencing assay	179_181_R4_HN35NBGX3_L003.fastq.gz	e8cd2ed3a5f033db2e991b639aae0a8b	179_181_R4_HN35NBGX3_L003
179_181_R4_HN35NBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R4_HN35NBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R4_HN35NBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R4_HN35NBGX3_L004	sequencing assay	179_181_R4_HN35NBGX3_L004.fastq.gz	6efa3d601e5852bb868329dc73fa15a2	179_181_R4_HN35NBGX3_L004
179_181_R4_HT7TLBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R4_HT7TLBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R4_HT7TLBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R4_HT7TLBGX3_L001	sequencing assay	179_181_R4_HT7TLBGX3_L001.fastq.gz	fc8f0f5a4e29b5343c46b87332f8839e	179_181_R4_HT7TLBGX3_L001
179_181_R4_HT7TLBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R4_HT7TLBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R4_HT7TLBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R4_HT7TLBGX3_L002	sequencing assay	179_181_R4_HT7TLBGX3_L002.fastq.gz	19e4c975ed9b85796107c274a2a99e81	179_181_R4_HT7TLBGX3_L002
179_181_R4_HT7TLBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R4_HT7TLBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R4_HT7TLBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R4_HT7TLBGX3_L003	sequencing assay	179_181_R4_HT7TLBGX3_L003.fastq.gz	7903be1cabe2847fd336e18740533978	179_181_R4_HT7TLBGX3_L003
179_181_R4_HT7TLBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R4_HT7TLBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R4_HT7TLBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R4_HT7TLBGX3_L004	sequencing assay	179_181_R4_HT7TLBGX3_L004.fastq.gz	727ed73d140c967cf568f1a53494b1de	179_181_R4_HT7TLBGX3_L004
179_181_R4_HVKMCBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R4_HVKMCBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R4_HVKMCBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R4_HVKMCBGX3_L001	sequencing assay	179_181_R4_HVKMCBGX3_L001.fastq.gz	acd434c0e01d50017c4bbc2aa9c206f7	179_181_R4_HVKMCBGX3_L001
179_181_R4_HVKMCBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R4_HVKMCBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R4_HVKMCBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R4_HVKMCBGX3_L002	sequencing assay	179_181_R4_HVKMCBGX3_L002.fastq.gz	d8d5f1056fc219f8c36d32b807d1334d	179_181_R4_HVKMCBGX3_L002
179_181_R4_HVKMCBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R4_HVKMCBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R4_HVKMCBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R4_HVKMCBGX3_L003	sequencing assay	179_181_R4_HVKMCBGX3_L003.fastq.gz	8d1c3daccf2157219ef3cd9f42d31dea	179_181_R4_HVKMCBGX3_L003
179_181_R4_HVKMCBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_181_R4_HVKMCBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_181_R4_HVKMCBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_181_R4_HVKMCBGX3_L004	sequencing assay	179_181_R4_HVKMCBGX3_L004.fastq.gz	77076c64ddaeef9a42a7933dd79c0800	179_181_R4_HVKMCBGX3_L004
179_284_input.all.hg19.merged.nodup.25M.w5.rpm	hg19	breast.hg19	Breast.cancer	179_284_input.all.hg19.merged.nodup.25M.w5.rpm.bw	normalised.PDTX.reads.bigwig	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_284_input.all.hg19.merged.nodup.25M.w5.rpm	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_284_input.all.hg19.merged.nodup.25M.w5.rpm	sequencing assay	179_284_input.all.hg19.merged.nodup.25M.w5.rpm.bw	0c91a95d7e89945f2ab6f76429bc411a	179_284_input.all.hg19.merged.nodup.25M.w5.rpm.bw
179_284_input_HN35NBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_284_input_HN35NBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_284_input_HN35NBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_284_input_HN35NBGX3_L001	sequencing assay	179_284_input_HN35NBGX3_L001.fastq.gz	304d4e7b2f78fa1421df88d95e5c50e0	179_284_input_HN35NBGX3_L001
179_284_input_HN35NBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_284_input_HN35NBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_284_input_HN35NBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_284_input_HN35NBGX3_L002	sequencing assay	179_284_input_HN35NBGX3_L002.fastq.gz	398fc0d0a4f93dab62832d74108842a6	179_284_input_HN35NBGX3_L002
179_284_input_HN35NBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_284_input_HN35NBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_284_input_HN35NBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_284_input_HN35NBGX3_L003	sequencing assay	179_284_input_HN35NBGX3_L003.fastq.gz	97e927720edcf8d877876398f2759756	179_284_input_HN35NBGX3_L003
179_284_input_HN35NBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_284_input_HN35NBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_284_input_HN35NBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_284_input_HN35NBGX3_L004	sequencing assay	179_284_input_HN35NBGX3_L004.fastq.gz	4db073795da797a0757b5ce39b36aefb	179_284_input_HN35NBGX3_L004
179_284_R1.all.hg19.merged.nodup.w5.rpm.sub.dm6	hg19	breast.hg19	Breast.cancer	179_284_R1.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw	normalised.PDTX.reads.bigwig	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_284_R1.all.hg19.merged.nodup.w5.rpm.sub.dm6	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_284_R1.all.hg19.merged.nodup.w5.rpm.sub.dm6	sequencing assay	179_284_R1.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw	57ac60989a83c42f44871124c0b91079	179_284_R1.all.hg19.merged.nodup.w5.rpm.sub.dm6.bw
179_284_R1_HKV2HBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_284_R1_HKV2HBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_284_R1_HKV2HBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_284_R1_HKV2HBGX3_L001	sequencing assay	179_284_R1_HKV2HBGX3_L001.fastq.gz	5f4bb478b700713a9cc0345357337530	179_284_R1_HKV2HBGX3_L001
179_284_R1_HKV2HBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_284_R1_HKV2HBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_284_R1_HKV2HBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_284_R1_HKV2HBGX3_L002	sequencing assay	179_284_R1_HKV2HBGX3_L002.fastq.gz	66b3bce74dc32c9fb99644c75e6c36b1	179_284_R1_HKV2HBGX3_L002
179_284_R1_HKV2HBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_284_R1_HKV2HBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_284_R1_HKV2HBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_284_R1_HKV2HBGX3_L003	sequencing assay	179_284_R1_HKV2HBGX3_L003.fastq.gz	f1cb173a6b890fcb89b9646963ce9179	179_284_R1_HKV2HBGX3_L003
179_284_R1_HKV2HBGX3_L004	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_284_R1_HKV2HBGX3_L004	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_284_R1_HKV2HBGX3_L004	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_284_R1_HKV2HBGX3_L004	sequencing assay	179_284_R1_HKV2HBGX3_L004.fastq.gz	8ece877863aa2200279ec9f86d790ef7	179_284_R1_HKV2HBGX3_L004
179_284_R1_HN35NBGX3_L001	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_284_R1_HN35NBGX3_L001	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_284_R1_HN35NBGX3_L001	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_284_R1_HN35NBGX3_L001	sequencing assay	179_284_R1_HN35NBGX3_L001.fastq.gz	cfe18e13e26bf4aa5b4de41dcd7a7809	179_284_R1_HN35NBGX3_L001
179_284_R1_HN35NBGX3_L002	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_284_R1_HN35NBGX3_L002	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_284_R1_HN35NBGX3_L002	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_284_R1_HN35NBGX3_L002	sequencing assay	179_284_R1_HN35NBGX3_L002.fastq.gz	394cbecd4d0e29b97d2d8a343c184f0a	179_284_R1_HN35NBGX3_L002
179_284_R1_HN35NBGX3_L003	hg19_mm10_dm6	breast.hg19_mm10.breast_S2.dm6.cells	Breast.cancer	179_284_R1_HN35NBGX3_L003	PDTX.tissue.chromatin.mixed.S2.dm6.chromatin	Protocol 1	Protocol 7	Protocol 6	Protocol 2	Protocol 3	179_284_R1_HN35NBGX3_L003	SINGLE	ChIP	GENOMIC	ChIP-Seq	Protocol 4	Cancer Research UK Cambridge Institute	179_284_R1_HN35NBGX3_L003	sequencing assay	179_284_R1_HN35NBGX3_L003.fastq.gz	40610dad5be3e8140024467b31c7e718	179_284_R1_HN35NBGX3_L003
